top,heart,base,perfume_id
"[604, 529, 366]","[708, 473, 785, 102]","[692, 624, 461]",26120430
,,,26120431
"[96, 515, 60, 604]","[785, 473, 708, 237]","[513, 649, 692, 808, 924]",26120432
,,,26120433
,,,26120434
,,,26120435
"[515, 530, 82, 60, 96]","[414, 473, 896, 669, 180, 193]","[513, 26, 649, 692, 924, 652, 191]",26120436
,,,26120437
"[512, 802]","[646, 939]","[900, 26, 669, 649]",26120438
"[96, 101]",[178],"[193, 924, 649]",26120439
"[96, 101, 515, 178, 646, 98, 890, 924]",,,26120440
,,,26120441
"[227, 639, 660, 96, 793, 646]","[224, 512, 692, 924]","[649, 624, 498, 472]",26120442
"[96, 515, 886]","[372, 785]","[924, 513, 193]",26120443
"[96, 515, 60, 604]","[785, 708, 552, 473]","[513, 924, 692, 649]",26120444
"[512, 793, 886, 896]","[246, 372, 473, 708, 646, 177, 692, 193]","[472, 498, 624]",26120445
,,,26120446
"[530, 639, 45, 96]","[692, 785]","[920, 624, 498]",26120447
,,,26120448
,,,26120449
"[96, 366, 60, 515]","[473, 180, 246, 896, 224]","[513, 652, 193, 26, 624, 649, 692, 498]",26120450
"[26, 96, 708, 178, 180, 193, 366, 372, 376, 473, 515, 562, 624, 896, 903, 920]",,,26120451
"[96, 660, 674, 421]","[529, 927, 473, 98, 802, 178, 259]","[924, 808, 692, 649, 646, 237, 224, 908]",26120452
"[224, 237, 920, 660, 96, 178, 646, 473, 927, 529, 785, 692, 26, 624, 421]",,,26120453
"[96, 515, 512, 660]",[785],[624],26120454
,,,26120455
,,,26120456
,,,26120457
,,,26120458
"[227, 480, 723]","[587, 26, 16, 864, 900]","[808, 512, 624]",26120459
"[864, 900, 82, 802, 178]",,,26120460
[883],[481],[808],26120461
"[96, 177, 512, 562, 515]","[708, 372, 290, 367, 376, 473, 510]","[26, 472, 193, 649, 513, 692, 808, 908, 924]",26120462
"[96, 562, 660, 639, 515]","[512, 802, 886, 178, 708]","[808, 193, 908, 624, 900, 461]",26120463
,[481],"[920, 624]",26120464
,,,26120465
"[96, 388, 82, 44]","[473, 966, 372]","[319, 808, 292, 26, 624]",26120466
"[515, 604, 646, 481, 649, 924, 796, 44]",,,26120467
"[341, 512, 515]","[473, 246]","[624, 808, 924]",26120468
"[224, 60, 44]","[527, 473, 898]","[193, 624]",26120469
"[96, 480, 512, 562, 515]","[246, 193, 473, 455]","[26, 649, 624]",26120470
"[388, 45]",[708],"[808, 193]",26120471
"[82, 793, 519, 512, 515, 96]","[42, 962, 259, 480, 224, 178]","[692, 649, 513, 26, 808, 193]",26120472
,,,26120473
"[96, 515]","[512, 793, 282, 646, 372]","[692, 649]",26120474
,,,26120475
,,,26120476
,,,26120477
"[344, 562]","[649, 802]","[808, 193, 908]",26120478
"[515, 229, 715, 512]","[785, 473, 669, 180]","[193, 924, 903, 513]",26120479
"[515, 715, 96, 229, 82, 512]","[237, 646, 372]","[193, 808, 26, 624]",26120480
"[227, 512, 473, 7, 513]",,,26120481
[96],"[45, 785, 224]","[924, 808]",26120482
,,,26120483
,,,26120484
,,,26120485
"[96, 512, 515, 259, 715]","[180, 229, 372]","[692, 924]",26120486
"[96, 883, 512, 854]",[372],"[808, 692, 920]",26120487
"[515, 388, 292, 12, 966]",,,26120488
"[512, 515, 237, 178, 224, 259, 353, 513, 455]",,,26120489
"[515, 562, 604]","[680, 565]","[649, 692]",26120490
[971],[604],"[708, 624]",26120491
"[515, 388, 229, 82]","[398, 854, 343]","[102, 886]",26120492
"[96, 515, 715]","[372, 808, 193, 180]","[624, 924, 26, 908, 649]",26120493
"[660, 45, 96, 102]","[259, 639, 526]","[26, 193, 624]",26120494
"[971, 96]","[624, 512]","[26, 692, 193]",26120495
,,,26120496
"[660, 515, 96, 793]",[639],,26120497
,,,26120498
,,,26120500
,,,26120501
,,,26120502
,,,26120503
"[562, 292, 193, 896]","[512, 336, 229, 692]","[808, 924]",26120504
"[515, 96, 82, 715, 177]","[785, 473, 692, 180]","[26, 649, 624]",26120505
"[96, 473, 26]",,,26120506
,,,26120507
"[512, 455, 903, 920]",,,26120508
,,,26120509
,[649],"[26, 808]",26120510
"[353, 455, 247, 796, 513, 900, 652, 627, 193]",,,26120511
,,,26120513
"[259, 96]","[846, 646, 715]",[747],26120514
,,,26120515
"[12, 82, 96, 530, 562, 515]","[785, 927, 358, 180, 473, 259, 529]","[26, 649, 624, 924, 193]",26120516
"[920, 421, 26, 624]",,,26120517
,,,26120518
"[96, 388, 562, 519, 604, 82, 473, 924, 692, 649]",,,26120519
"[562, 96, 388, 515, 971]","[398, 358, 473, 529, 290]","[193, 26]",26120520
"[723, 593, 660]","[177, 178, 512]","[649, 692, 808, 924]",26120521
[96],[646],[193],26120522
"[515, 639, 530]",,,26120523
[388],[529],[649],26120524
"[530, 515, 715, 96, 259, 229]","[237, 512]","[624, 920, 193]",26120525
"[96, 515]","[180, 924]",[624],26120526
"[924, 7, 26]",,,26120527
"[227, 96, 480, 193, 647]",,,26120528
"[247, 7]",,,26120529
,,,26120530
"[96, 515, 497]","[639, 785]",[920],26120531
"[395, 7]",,,26120532
,,,26120533
"[604, 101, 670, 237]",,,26120534
"[515, 660, 259, 177, 715]","[793, 180, 178, 896]",[692],26120536
"[515, 96, 624]",,,26120537
"[227, 604, 924]",,,26120538
"[96, 715, 515, 530, 512]","[639, 661]","[624, 924]",26120539
